Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
28-Mar-2012,15:25,,"Bus journey, route 17",1.35,,6.70,""
28-Mar-2012,12:31,,"Bus journey, route 263",1.35,,8.05,""
27-Mar-2012,12:56,,"Bus journey, route 17",1.35,,9.40,""
27-Mar-2012,12:56,,"Topped up, Caledonian Road",,10.00,10.75,""
23-Mar-2012,12:45,,"Bus journey, route 91",1.35,,0.75,""
23-Mar-2012,12:17,,"Bus journey, route 91",1.35,,2.10,""
22-Mar-2012,11:28,11:38,"Caledonian Road and Barnsbury to Kentish Town West",1.40,,3.45,""
